family,bin,count,share_pct
lidar_points_team,0-4,57700,53.82161446187713
lidar_points_team,5-19,26169,24.41001436486764
lidar_points_team,50+,13235,12.345391116168871
lidar_points_team,20-49,10102,9.422980057086358
official_eval_point_filter,kept,90991,84.87491371751581
official_eval_point_filter,filtered_zero_lidar_plus_radar,16215,15.125086282484189
visibility_token_official,4,54934,51.24153498871332
visibility_token_official,1,30137,28.111299740686157
visibility_token_official,2,11445,10.675708449153966
visibility_token_official,3,10690,9.97145682144656
truncation_team,<=0.05,101494,94.67194000335802
truncation_team,0.05-0.30,2687,2.506389567748074
truncation_team,>0.50,1712,1.5969255452120217
truncation_team,0.30-0.50,1313,1.2247448836818835
truncation_kitti_candidate,<=0.15,102719,95.81459992910844
truncation_kitti_candidate,>0.50,1712,1.5969255452120217
truncation_kitti_candidate,0.15-0.30,1462,1.3637296419976495
truncation_kitti_candidate,0.30-0.50,1313,1.2247448836818835
